,npi,nppes_provider_city,Recipient_State,Submitting_Applicable_Manufacturer_or_Applicable_GPO_Name,drug_name,Total_Amount_of_Payment_USDollars,Unnamed: 0,bene_count,total_claim_count,total_day_supply,total_drug_cost,claim_scaled_supply,RevPerPill,SMPerPill,ProfPerPill
0,1336117738.0,POMONA,CA,ELI LILLY AND COMPANY,FORTEO,13.97,7842747,0.0,34,972,44896.06,28.588235294117645,46.18936213991769,0.014372427983539096,46.17498971193415
87,1336117738.0,POMONA,CA,ELI LILLY AND COMPANY,HUMALOG,30.99,7842755,45.0,160,7661,63708.41,47.88125,8.315939172431797,0.0040451638167341075,8.311894008615063
174,1336117738.0,POMONA,CA,ELI LILLY AND COMPANY,TRADJENTA,17.32,7842802,21.0,57,2430,20450.64,42.631578947368425,8.415901234567901,0.007127572016460905,8.40877366255144
261,1336117738.0,POMONA,CA,NOVO NORDISK INC,LEVEMIR,43.26000000000001,7842770,0.0,36,1349,11981.18,37.47222222222222,8.881527057079317,0.03206819866567829,8.849458858413639
348,1336141803.0,BROWNSVILLE,TX,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",TRADJENTA,20.31,7881508,0.0,24,840,6999.82,35.0,8.333119047619046,0.024178571428571428,8.308940476190475
405,1336141803.0,BROWNSVILLE,TX,SANOFI AND GENZYME US COMPANIES,LANTUS,10.94,7881484,14.0,46,2600,25557.79,56.52173913043478,9.829919230769232,0.004207692307692307,9.825711538461539
462,1336154707.0,BEVERLY HILLS,CA,"ABBVIE, INC.",ANDROGEL,40.6,7899939,0.0,18,815,10444.62,45.27777777777778,12.815484662576688,0.0498159509202454,12.765668711656442
537,1336154707.0,BEVERLY HILLS,CA,"ABBVIE, INC.",SYNTHROID,19.74,7900000,135.0,660,36275,26907.13,54.96212121212121,0.7417541006202619,0.0005441764300482425,0.7412099241902137
612,1336154707.0,BEVERLY HILLS,CA,ELI LILLY AND COMPANY,HUMALOG,13.76,7899963,13.0,40,2466,24473.05,61.65,9.924188969991889,0.005579886455798865,9.91860908353609
687,1336154707.0,BEVERLY HILLS,CA,MERCK SHARP & DOHME CORPORATION,JANUVIA,30.04,7899968,29.0,171,7980,65892.44,46.66666666666666,8.257197994987468,0.003764411027568922,8.253433583959898
762,1336154707.0,BEVERLY HILLS,CA,NOVO NORDISK INC,LEVEMIR,122.5,7899971,0.0,21,809,3909.17,38.52380952380953,4.832101359703338,0.15142150803461063,4.680679851668727
837,1336154707.0,BEVERLY HILLS,CA,SANOFI AND GENZYME US COMPANIES,LANTUS,14.17,7899969,0.0,57,2118,16045.41,37.1578947368421,7.575736543909349,0.006690273843248347,7.5690462700661
912,1336154707.0,BEVERLY HILLS,CA,"SANTARUS, INC",GLUMETZA,16.0,7899962,0.0,11,330,3557.1,30.0,10.77909090909091,0.048484848484848485,10.73060606060606
987,1336156546.0,RENO,NV,AMGEN INC.,PROLIA,114.76,7901658,0.0,17,1081,14379.62,63.58823529411765,13.302146160962073,0.10616096207215542,13.195985198889916
1096,1336156546.0,RENO,NV,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",TRADJENTA,112.68,7901665,16.0,74,2895,25201.18,39.12162162162162,8.705070811744386,0.038922279792746116,8.66614853195164
1097,1336156546.0,RENO,NV,ELI LILLY AND COMPANY,TRADJENTA,15.58,7901665,16.0,74,2895,25201.18,39.12162162162162,8.705070811744386,0.005381692573402418,8.699689119170984
1314,1336156546.0,RENO,NV,BRISTOL-MYERS SQUIBB COMPANY,ONGLYZA,16.67,7901647,16.0,52,3000,23978.52,57.69230769230769,7.99284,0.005556666666666667,7.987283333333333
1423,1336156546.0,RENO,NV,ELI LILLY AND COMPANY,HUMALOG,89.19,7901609,0.0,15,840,6669.32,56.0,7.939666666666667,0.10617857142857143,7.833488095238096
1532,1336156546.0,RENO,NV,"JANSSEN PHARMACEUTICALS, INC",INVOKANA,78.93,7901616,0.0,11,375,3224.15,34.09090909090909,8.597733333333334,0.21048000000000003,8.387253333333334
1641,1336156546.0,RENO,NV,MERCK SHARP & DOHME CORPORATION,ZETIA,11.14,7901675,12.0,51,2550,13263.51,50.0,5.201376470588236,0.004368627450980393,5.197007843137255
1750,1336157122.0,ROCKY MOUNT,NC,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",TRADJENTA,3063.88,7902845,34.0,110,4080,33626.02,37.09090909090909,8.24167156862745,0.7509509803921569,7.490720588235292
1818,1336159920.0,HOUSTON,TX,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",TRADJENTA,149.99,7905685,0.0,21,1200,9940.64,57.14285714285714,8.283866666666666,0.12499166666666667,8.158875
1845,1336159920.0,HOUSTON,TX,SANOFI AND GENZYME US COMPANIES,LANTUS,22.31,7905672,0.0,12,778,3679.6,64.83333333333333,4.729562982005142,0.028676092544987146,4.700886889460155
1872,1336160837.0,ALEXANDRIA,VA,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",TRADJENTA,19.58,7907149,0.0,17,690,6004.54,40.588235294117645,8.702231884057971,0.028376811594202897,8.673855072463768
1929,1336164680.0,CHAPEL HILL,NC,MERCK SHARP & DOHME CORPORATION,JANUVIA,4274.64,7911773,0.0,16,780,6515.87,48.75,8.353679487179487,5.480307692307693,2.8733717948717947
1964,1336193465.0,LOUISVILLE,KY,"ABBVIE, INC.",ANDROGEL,11.84,7945147,12.0,35,1446,28674.15,41.31428571428572,19.829979253112032,0.008188105117565698,19.821791147994468
2088,1336193465.0,LOUISVILLE,KY,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",TRADJENTA,33.21,7945252,14.0,43,2490,19689.5,57.906976744186046,7.907429718875502,0.013337349397590362,7.894092369477911
2089,1336193465.0,LOUISVILLE,KY,ELI LILLY AND COMPANY,TRADJENTA,26.23,7945252,14.0,43,2490,19689.5,57.906976744186046,7.907429718875502,0.01053413654618474,7.896895582329317
2336,1336193465.0,LOUISVILLE,KY,DAIICHI SANKYO INC.,BENICAR,11.48,7945153,0.0,17,690,2802.14,40.588235294117645,4.061072463768116,0.01663768115942029,4.044434782608695
2460,1336193465.0,LOUISVILLE,KY,ELI LILLY AND COMPANY,HUMALOG,50.98,7945190,23.0,70,3731,44197.9,53.3,11.84612704368802,0.013663897078531224,11.832463146609488
2584,1336193465.0,LOUISVILLE,KY,NOVO NORDISK INC,LEVEMIR,70.75,7945206,0.0,11,377,4536.66,34.27272727272727,12.033580901856764,0.1876657824933687,11.845915119363395
2708,1336193465.0,LOUISVILLE,KY,SANOFI AND GENZYME US COMPANIES,LANTUS,70.25,7945204,23.0,93,3527,42104.92,37.924731182795696,11.937884888006804,0.019917777147717607,11.917967110859086
2832,1336246529.0,EAU CLAIRE,WI,NOVO NORDISK INC,NOVOLOG,72.7,7986782,16.0,57,2139,21552.47,37.526315789473685,10.07595605423095,0.033987844787283776,10.041968209443667
2890,1336255850.0,BIRMINGHAM,AL,"ABBVIE, INC.",ANDROGEL,1302.55,7994483,0.0,11,310,4375.25,28.181818181818183,14.113709677419354,4.2017741935483865,9.911935483870968
3049,1336255850.0,BIRMINGHAM,AL,"ABBVIE, INC.",CREON,33.230000000000004,7994506,0.0,30,839,18048.51,27.966666666666665,21.511930870083432,0.03960667461263409,21.472324195470797
3208,1336255850.0,BIRMINGHAM,AL,"JANSSEN PHARMACEUTICALS, INC",XARELTO,164.43,7994632,0.0,21,681,5872.14,32.42857142857143,8.622819383259912,0.24145374449339208,8.381365638766521
3367,1336298199.0,KINGWOOD,TX,ELI LILLY AND COMPANY,HUMALOG,12.26,8011642,18.0,56,2711,24391.25,48.41071428571429,8.997141276281814,0.004522316488380671,8.992618959793434
3403,1336298199.0,KINGWOOD,TX,SANOFI AND GENZYME US COMPANIES,LANTUS,42.05,8011647,11.0,32,1027,10140.75,32.09375,9.87414800389484,0.04094449853943524,9.833203505355405
3439,1336318344.0,LIVINGSTON,NJ,"ABBVIE, INC.",SYNTHROID,12.71,8017195,14.0,40,2850,1484.35,71.25,0.5208245614035087,0.004459649122807018,0.5163649122807017
3460,1346213998.0,MORRISTOWN,NJ,ANIMAS CORPORATION,INVOKANA,27.7,8069737,0.0,19,750,6604.53,39.473684210526315,8.80604,0.03693333333333333,8.769106666666666
3505,1346217288.0,LAUREL,MD,SANOFI AND GENZYME US COMPANIES,LANTUS,10.01,8076053,0.0,16,708,5923.66,44.25,8.366751412429378,0.014138418079096046,8.352612994350283
3551,1346236098.0,JOLIET,IL,ELI LILLY AND COMPANY,HUMALOG,45.75,8108538,21.0,80,3410,39491.5,42.625,11.58108504398827,0.01341642228739003,11.56766862170088
3647,1346247939.0,BROWNSVILLE,TX,"ABBVIE, INC.",ANDROGEL,11.82,8129839,0.0,30,1073,15985.7,35.766666666666666,14.898136067101586,0.011015843429636534,14.88712022367195
3713,1346247939.0,BROWNSVILLE,TX,ELI LILLY AND COMPANY,HUMALOG,24.59,8129858,0.0,37,1784,38445.65,48.21621621621622,21.550252242152467,0.013783632286995516,21.536468609865473
3779,1346247939.0,BROWNSVILLE,TX,ELI LILLY AND COMPANY,TRADJENTA,16.59,8129895,0.0,23,810,6622.55,35.21739130434783,8.175987654320988,0.020481481481481482,8.155506172839507
3845,1346254539.0,MILWAUKEE,WI,ELI LILLY AND COMPANY,TRADJENTA,5378.83,8138647,15.0,104,3605,30015.16,34.66346153846154,8.325980582524272,1.4920471567267684,6.833933425797504
3846,1346254539.0,MILWAUKEE,WI,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",TRADJENTA,100.0,8138647,15.0,104,3605,30015.16,34.66346153846154,8.325980582524272,0.027739251040221916,8.29824133148405
4045,1346254539.0,MILWAUKEE,WI,"ABBVIE, INC.",ANDROGEL,100.0,8138566,0.0,24,1020,12087.98,42.5,11.850960784313726,0.09803921568627451,11.752921568627452
4145,1346254539.0,MILWAUKEE,WI,"ABBVIE, INC.",SYNTHROID,1424.75,8138643,92.0,602,26602,18150.71,44.18936877076411,0.6823062175776257,0.05355800315765732,0.6287482144199683
4245,1346254539.0,MILWAUKEE,WI,BRISTOL-MYERS SQUIBB COMPANY,BYDUREON,5204.5,8138573,0.0,24,895,11434.5,37.29166666666666,12.775977653631285,5.815083798882681,6.960893854748604
4345,1346254539.0,MILWAUKEE,WI,BRISTOL-MYERS SQUIBB COMPANY,ONGLYZA,1782.76,8138629,0.0,26,1440,11413.26,55.384615384615394,7.9258750000000004,1.2380277777777777,6.6878472222222225
4445,1346260841.0,ROCKVILLE,MD,MERCK SHARP & DOHME CORPORATION,JANUVIA,7135.629999999999,8144319,0.0,15,1350,11248.07,90.0,8.331903703703704,5.285651851851851,3.046251851851853
4450,1346268299.0,BETHEL PARK,PA,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",TRADJENTA,82.36,8153435,0.0,14,780,6392.02,55.714285714285715,8.194897435897436,0.10558974358974359,8.089307692307694
4451,1346268299.0,BETHEL PARK,PA,ELI LILLY AND COMPANY,TRADJENTA,15.51,8153435,0.0,14,780,6392.02,55.714285714285715,8.194897435897436,0.019884615384615386,8.175012820512821
4616,1346268299.0,BETHEL PARK,PA,ELI LILLY AND COMPANY,HUMALOG,54.03,8153388,71.0,177,8008,100457.45,45.24293785310735,12.544636613386613,0.006747002997002997,12.53788961038961
4699,1346268513.0,SAN ANTONIO,TX,BRISTOL-MYERS SQUIBB COMPANY,ONGLYZA,45.47,8153666,0.0,16,934,7448.96,58.375,7.975331905781585,0.0486830835117773,7.926648822269807
4757,1346268513.0,SAN ANTONIO,TX,SANOFI AND GENZYME US COMPANIES,LANTUS,13.74,8153652,20.0,104,4086,35572.74,39.28846153846154,8.706005873715124,0.0033627019089574155,8.702643171806168
4815,1346272523.0,OKLAHOMA CITY,OK,"ABBVIE, INC.",ANDROGEL,53.73,8158423,15.0,36,1847,27736.12,51.305555555555564,15.016848944233892,0.029090416892257713,14.987758527341635
4877,1346272523.0,OKLAHOMA CITY,OK,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",TRADJENTA,52.6,8158477,16.0,44,3030,24848.14,68.86363636363636,8.200706270627062,0.01735973597359736,8.183346534653465
4939,1346272523.0,OKLAHOMA CITY,OK,BRISTOL-MYERS SQUIBB COMPANY,ONGLYZA,41.86,8158469,0.0,22,1030,8285.9,46.81818181818182,8.044563106796117,0.04064077669902912,8.003922330097089
5001,1346272523.0,OKLAHOMA CITY,OK,MERCK SHARP & DOHME CORPORATION,JANUVIA,12.55,8158449,15.0,34,2580,16764.84,75.88235294117645,6.498,0.004864341085271318,6.493135658914729
5063,1346272523.0,OKLAHOMA CITY,OK,SANOFI AND GENZYME US COMPANIES,LANTUS,21.76,8158451,11.0,38,2152,19128.27,56.631578947368425,8.888601301115242,0.010111524163568773,8.878489776951673
5125,1346300852.0,PRINCETON,NJ,ELI LILLY AND COMPANY,HUMALOG,16.29,8192500,13.0,35,1965,21461.51,56.14285714285714,10.921888040712467,0.008290076335877862,10.913597964376589
5158,1346300852.0,PRINCETON,NJ,ELI LILLY AND COMPANY,TRADJENTA,18.12,8192520,0.0,14,825,6460.06,58.92857142857143,7.830375757575758,0.021963636363636366,7.808412121212122
5191,1346320553.0,MORRISTOWN,NJ,"ABBVIE, INC.",ANDROGEL,21.93,8204211,0.0,17,727,13350.41,42.76470588235294,18.363700137551582,0.030165061898211828,18.33353507565337
5239,1346320553.0,MORRISTOWN,NJ,ELI LILLY AND COMPANY,HUMALOG,14.96,8204223,16.0,59,3287,27944.73,55.711864406779654,8.501591116519622,0.004551262549437177,8.497039853970184
5287,1346320553.0,MORRISTOWN,NJ,SANOFI AND GENZYME US COMPANIES,LANTUS,22.85,8204232,11.0,45,2835,25464.73,63.0,8.982268077601411,0.008059964726631393,8.974208112874779
5335,1346339652.0,NAPA,CA,ELI LILLY AND COMPANY,FORTEO,3.86,8220068,0.0,44,1292,58961.64,29.363636363636363,45.63594427244582,0.002987616099071207,45.63295665634675
5379,1346339652.0,NAPA,CA,ELI LILLY AND COMPANY,HUMALOG,2.06,8220072,26.0,84,3511,48822.98,41.797619047619044,13.905719168328112,0.0005867274280831672,13.90513244090003
5423,1346450657.0,REIDSVILLE,NC,SANOFI AND GENZYME US COMPANIES,LANTUS,16.58,8267507,16.0,47,1524,16025.12,32.425531914893625,10.515170603674541,0.010879265091863516,10.504291338582677
5478,1346452919.0,PORTLAND,OR,MERCK SHARP & DOHME CORPORATION,JANUVIA,75.0,8268773,0.0,16,780,6346.48,48.75,8.13651282051282,0.09615384615384616,8.040358974358973
5493,1356306211.0,TAUNTON,MA,"ABBVIE, INC.",ANDROGEL,54.5,8297668,14.0,55,1740,29014.65,31.63636363636364,16.67508620689655,0.03132183908045977,16.643764367816093
5567,1356306211.0,TAUNTON,MA,ELI LILLY AND COMPANY,HUMALOG,23.25,8297691,38.0,127,6376,68655.63,50.20472440944882,10.767821518193225,0.003646486825595985,10.764175031367628
5641,1356306211.0,TAUNTON,MA,SANOFI AND GENZYME US COMPANIES,LANTUS,18.35,8297703,21.0,107,3572,25201.26,33.38317757009346,7.055223964165733,0.0051371780515117585,7.050086786114221
5715,1356306211.0,TAUNTON,MA,"SANTARUS, INC",GLUMETZA,11.16,8297689,0.0,19,750,9320.8,39.473684210526315,12.427733333333332,0.01488,12.412853333333333
5789,1356306799.0,HOBART,IN,SANOFI AND GENZYME US COMPANIES,LANTUS,19.68,8299191,56.0,299,9853,99920.18,32.953177257525084,10.14109205318177,0.0019973612097838223,10.139094691971987
5864,1356308357.0,LAS VEGAS,NV,"AKRIMAX PHARMACEUTICALS, LLC",TIROSINT,102.26,8302066,0.0,34,1428,2079.6,42.0,1.4563025210084033,0.07161064425770308,1.3846918767507002
5969,1356308357.0,LAS VEGAS,NV,BRISTOL-MYERS SQUIBB COMPANY,BYDUREON,4725.35,8301990,16.0,83,3315,39763.41,39.93975903614458,11.994995475113123,1.4254449472096533,10.56955052790347
6074,1356308357.0,LAS VEGAS,NV,ELI LILLY AND COMPANY,FORTEO,891.97,8302001,0.0,12,674,31219.89,56.16666666666666,46.3203115727003,1.3233976261127598,44.99691394658754
6179,1356308357.0,LAS VEGAS,NV,ELI LILLY AND COMPANY,HUMALOG,3.54,8302013,35.0,103,4703,53088.6,45.66019417475728,11.288241547948118,0.0007527110355092494,11.287488836912608
6284,1356308357.0,LAS VEGAS,NV,ELI LILLY AND COMPANY,TRADJENTA,21.03,8302067,0.0,33,1530,12107.25,46.36363636363637,7.913235294117647,0.013745098039215687,7.899490196078431
6389,1356308357.0,LAS VEGAS,NV,"TAKEDA PHARMACEUTICALS U.S.A., INC.",EDARBYCLOR,19.53,8301998,0.0,12,360,1139.04,30.0,3.1639999999999997,0.05425000000000001,3.1097499999999996
